ID,applyposition,Base,Annual,signing,expected,skillset,location
1,"APPLY NOW Head of SBG Data Science Engineering at Intuit in Mountain View, CA","Base Salary$253K","Annual Bonus$86K","Signing Bonus$24K","EXPECTED $338K","You can learn valuable new skills like: Distributed Systems, Big Data, Algorithms, Data Science, Strategy, Databases and more.","Jobs in Mountain View, CA"
2,"APPLY NOW Principal Lead Data Scientist at Akamai Technologies in Santa Clara, CA","Base Salary$204K","Annual Bonus$27K","Signing Bonus$18K","EXPECTED $317K","You can learn valuable new skills like: Hadoop, Data Mining, Machine Learning, Python, Matlab, Ruby and more.","Jobs in Santa Clara, CA"
3,"APPLY NOW Principal Lead Data Scientist at Akamai Technologies in Santa Clara, CA","Base Salary$204K","Annual Bonus$27K","Signing Bonus$18K","EXPECTED $317K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, Machine Learning, Python and more.","Jobs in Santa Clara, CA"
4,"APPLY NOW Director, Data Scientist at Dropbox in San Francisco, CA","Base Salary$183K","Annual Bonus$0","Signing Bonus$30K","EXPECTED $289K","You can learn valuable new skills like: Data Mining, Algorithms, Machine Learning, Data Science, SQL, Analytics and more.","Jobs in San Francisco, CA"
5,"APPLY NOW Principal Data Scientist at Microsoft in Bellevue, WA","Base Salary$200K","Annual Bonus$49K","Signing Bonus$19K","EXPECTED $289K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Algorithms, MapReduce, C++ and more.","Jobs in Bellevue, WA"
6,"APPLY NOW Principal Data Scientist at Microsoft in Redmond, WA","Base Salary$198K","Annual Bonus$53K","Signing Bonus$19K","EXPECTED $287K","You can learn valuable new skills like: Algorithms, Machine Learning, C++, Python, Deep Learning, Data Science and more.","Jobs in Redmond, WA"
7,"APPLY NOW Head of Data Science and Engineering at Amazon in Seattle, WA","Base Salary$265K","Annual Bonus$0","Signing Bonus$35K","EXPECTED $265K","You can learn valuable new skills like: Product Management, Machine Learning, Data Science, Analytics, and Statistics.","Jobs in Seattle, WA"
8,"APPLY NOW Principal Data Science Engineer at OpenTable in San Francisco, CA","Base Salary$170K","Annual Bonus$46K","Signing Bonus$43K","EXPECTED $255K","You can learn valuable new skills like: Product Management, Hadoop, Software Design, Information Retrieval, Machine Learning, ETL and more.","Jobs in San Francisco, CA"
9,"APPLY NOW Sr. Principal Data Scientist (A/B Platform) at Coupang in Palo Alto, CA","Base Salary$180K","Annual Bonus$27K","Signing Bonus$16K","EXPECTED $281K","You can learn valuable new skills like: Big Data, Data Science, Statistics, Search, and Mathematics.","Jobs in Palo Alto, CA"
10,"APPLY NOW Principal Data Scientist (Fraud Protection) at Coupang in Palo Alto, CA","Base Salary$164K","Annual Bonus$27K","Signing Bonus$15K","EXPECTED $265K","You can learn valuable new skills like: Data Mining, Big Data, Algorithms, Machine Learning, Data Science, SQL and more.","Jobs in Palo Alto, CA"
