"ID","Position","Company","City","State","Skills","Type","Salary"
1.0,"Head of SBG Data Science Engineering","Intuit","Mountain View","CA","Distributed Systems","Base Salary","253000"
2.0,"Principal Lead Data Scientist","Akamai Technologies","Santa Clara","CA","Hadoop","Base Salary","204000"
3.0,"Principal Lead Data Scientist","Akamai Technologies","Santa Clara","CA","Hadoop","Base Salary","204000"
4.0,"Director, Data Scientist","Dropbox","San Francisco","CA","Data Mining","Base Salary","183000"
5.0,"Principal Data Scientist","Microsoft","Bellevue","WA","Hadoop","Base Salary","200000"
6.0,"Principal Data Scientist","Microsoft","Redmond","WA","Algorithms","Base Salary","198000"
7.0,"Head of Data Science and Engineering","Amazon","Seattle","WA","Product Management","Base Salary","265000"
8.0,"Principal Data Science Engineer","OpenTable","San Francisco","CA","Product Management","Base Salary","170000"
9.0,"Sr. Principal Data Scientist (A/B Platform)","Coupang","Palo Alto","CA","Big Data","Base Salary","180000"
10.0,"Principal Data Scientist (Fraud Protection)","Coupang","Palo Alto","CA","Data Mining","Base Salary","164000"
11.0,"Principal Data Science Manager","Microsoft","Redmond","WA","Management","Base Salary","183000"
12.0,"Data Science and Analytics Lead, Global Revenue Acceleration","Google","Mountain View","CA","Automation","Base Salary","154000"
13.0,"Principal Data Scientist","Microsoft","Redmond","WA","Data Science","Base Salary","198000"
14.0,"Principal Data Science Engineer","Salesforce","San Francisco","CA","Distributed Systems","Base Salary","179000"
15.0,"Lead Data Scientist","Salesforce","San Francisco","CA","Hadoop","Base Salary","172000"
16.0,"Senior Software Engineer - Bing Data and Services Infrastructure","Microsoft","Sunnyvale","CA","Distributed Systems","Base Salary","162000"
17.0,"Technical Program Manager - Data Science","Amazon","Seattle","WA","Software Design","Base Salary","153000"
18.0,"Senior Data Scientist","Microsoft","Redmond","WA","Hadoop","Base Salary","162000"
19.0,"Senior Data Scientist","OpenTable","San Francisco","CA","Product Management","Base Salary","141000"
20.0,"VP, Engineering and Data Science","ShareThis","Palo Alto","CA","Product Management","Base Salary","176000"
21.0,"Manager of Data Science","Yelp","San Francisco","CA","Technical Leadership","Base Salary","166000"
22.0,"Principal Data Scientist","Salesforce","San Francisco","CA","Algorithms","Base Salary","179000"
23.0,"Data Scientist / Quantitative Analyst Technical Lead, YouTube","Google","San Bruno","CA","Optimization","Base Salary","132000"
24.0,"Data Scientist / Quantitative Analyst Technical Lead, YouTube","Google","Mountain View","CA","Optimization","Base Salary","132000"
25.0,"Senior/Principal Data Scientist","Fitbit","San Francisco","CA","Data Mining","Base Salary","189000"
26.0,"Principal Data Scientist Architect","SAP","Palo Alto","CA","Data Mining","Base Salary","172000"
27.0,"Senior Data Scientist","Microsoft","Bellevue","WA","Hadoop","Base Salary","162000"
28.0,"Senior Software Engineer - Data Engineer","Microsoft","Redmond","WA","Data Mining","Base Salary","161000"
29.0,"Sr. Data Scientist (Computer Vision)","Coupang","Seattle","WA","Data Mining","Base Salary","133000"
30.0,"Lead Data Scientist","Glassdoor","Mill Valley","CA","Big Data","Base Salary","160000"
31.0,"Director","","Vienna","VA","Product Management","Base Salary","240000"
32.0,"Data Science Manager","Lyft","San Francisco","CA","Technical Leadership","Base Salary","130000"
33.0,"Data Science Manager (Seattle)","Lyft","Seattle","WA","Technical Leadership","Base Salary","130000"
34.0,"Senior Data Scientist","Microsoft","Redmond","WA","Technical Leadership","Base Salary","162000"
35.0,"Senior Data Scientist","Microsoft","Redmond","WA","Data Mining","Base Salary","161000"
36.0,"Product Analytics Lead, Data Science","Google","Seattle","WA","Scalability","Base Salary","140000"
37.0,"Product Analytics Lead, Data Science","Google","Mountain View","CA","Scalability","Base Salary","140000"
