New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,,"Total, New York","3,513,125","2,388,547","510,196","222,704","145,297","246,381","4,498,413","3,341,923","289,049","2,576,899"
Albany,,,"54,020","37,555","8,015","3,175","1,575","3,700","71,518","54,461","4,301","39,255"
,12007,,50,40,10,0,0,0,74,58,0,40
,12009,,"1,520","1,145",175,75,65,60,"2,095","1,669",105,"1,175"
,12023,,490,340,60,35,20,35,630,470,46,350
,12024,,40,25,10,5,0,0,58,41,7,30
,12033,,"1,790","1,390",185,105,45,65,"2,458","1,996",142,"1,415"
,12041,,115,90,10,10,0,5,161,126,12,95
,12045,,120,70,25,10,5,10,146,97,11,70
,12046,,140,95,25,5,5,10,185,138,7,105
,12054,,"3,465","2,690",250,225,135,165,"5,294","4,357",336,"2,835"
,12059,,345,250,40,20,15,20,449,345,25,245
,12061,,"1,895","1,455",170,125,60,85,"2,729","2,198",187,"1,520"
,12062,,355,230,55,20,15,35,439,316,25,250
,12063,,120,100,5,5,0,10,163,139,6,90
,12067,,315,225,45,20,15,10,433,325,24,235
,12077,,"1,155",900,90,75,50,40,"1,675","1,371",116,955
,12084,,760,565,90,45,25,35,"1,063",856,57,600
,12085,,120,80,20,10,5,5,149,102,12,90
,12107,,45,35,0,5,5,0,60,48,7,40
,12115,,45,30,0,5,5,5,66,49,4,35
,12120,,145,110,15,5,5,10,197,155,9,110
,12123,,"1,085",740,160,65,40,80,"1,403","1,046",84,785
,12128,,70,70,0,0,0,0,111,106,0,70
,12130,,225,160,30,5,5,25,279,218,10,165
,12132,,115,95,10,10,0,0,177,150,11,100
,12143,,965,600,190,70,25,80,"1,211",827,99,625
,12144,,"4,215","2,885",670,280,115,265,"5,484","4,075",372,"3,050"
,12147,,150,115,15,10,5,5,215,176,10,115
,12156,,195,145,20,10,5,15,263,210,14,150
,12158,,"1,190",815,185,70,35,85,"1,593","1,171",101,835
,12159,,"1,810","1,395",145,135,75,60,"2,812","2,266",216,"1,515"
,12161,,50,35,10,5,0,0,69,54,5,40
,12168,,440,325,60,25,15,15,564,440,29,335
,12169,,55,30,10,5,5,5,73,49,5,35
,12186,,"1,420","1,150",90,85,45,50,"2,111","1,786",123,"1,190"
,12193,,465,330,65,25,15,30,623,474,37,325
,12195,,50,30,15,0,0,5,61,42,0,30
,12201,,190,80,75,10,0,25,204,103,7,85
,12202,,"1,540",675,575,65,20,205,"1,443",786,55,665
,12203,,"5,470","4,005",645,340,145,335,"7,485","5,913",465,"4,190"
,12204,,"1,470",970,255,85,45,115,"1,804","1,301",109,"1,030"
,12205,,"6,495","4,810",750,395,175,365,"8,595","6,757",527,"4,985"
,12206,,"2,785","1,260",985,110,40,390,"2,761","1,516",107,"1,280"
,12207,,435,195,165,20,10,45,384,188,20,210
,12208,,"3,800","2,495",575,215,95,420,"4,960","3,640",298,"2,660"
,12209,,"1,695","1,035",330,95,40,195,"2,020","1,415",121,"1,080"
,12210,,"1,460",745,475,60,15,165,"1,592",974,68,760
