Site Name,Sample Date,Entero Count,4 Days Total Rain (in),Number of Samples,Geometric Mean,Maximum,Minimum
Hudson above Mohawk River,10/19/2017,8,0,60,23,>2420,<1
Hudson above Mohawk River,9/14/2017,19,0,60,23,>2420,<1
Hudson above Mohawk River,8/17/2017,4,0,60,23,>2420,<1
Hudson above Mohawk River,7/13/2017,71,0.3,60,23,>2420,<1
Hudson above Mohawk River,6/15/2017,7,0,60,23,>2420,<1
Hudson above Mohawk River,5/18/2017,6,0.3,60,23,>2420,<1
Hudson above Mohawk River,4/7/2017,>2420,1.4,60,23,>2420,<1
Hudson above Mohawk River,10/18/2016,5,0,60,23,>2420,<1
Hudson above Mohawk River,9/17/2016,27,0,60,23,>2420,<1
Hudson above Mohawk River,8/18/2016,30,0.2,60,23,>2420,<1
Hudson above Mohawk River,7/16/2016,22,0.2,60,23,>2420,<1
Hudson above Mohawk River,6/18/2016,7,0,60,23,>2420,<1
Hudson above Mohawk River,5/23/2016,1,0,60,23,>2420,<1
Hudson above Mohawk River,10/15/2015,10,0,60,23,>2420,<1
Hudson above Mohawk River,9/14/2015,81,2.2,60,23,>2420,<1
Hudson above Mohawk River,8/15/2015,36,0.6,60,23,>2420,<1
Hudson above Mohawk River,7/11/2015,14,1.2,60,23,>2420,<1
Hudson above Mohawk River,6/13/2015,96,1.3,60,23,>2420,<1
Hudson above Mohawk River,5/14/2015,1,0.1,60,23,>2420,<1
Hudson above Mohawk River,10/16/2014,36,0.4,60,23,>2420,<1
Hudson above Mohawk River,9/10/2014,15,0,60,23,>2420,<1
Hudson above Mohawk River,8/14/2014,44,0.1,60,23,>2420,<1
Hudson above Mohawk River,7/10/2014,132,2.4,60,23,>2420,<1
Hudson above Mohawk River,6/15/2014,411,1.1,60,23,>2420,<1
Hudson above Mohawk River,5/15/2014,12,0.2,60,23,>2420,<1
Hudson above Mohawk River,10/21/2013,4,0.2,60,23,>2420,<1
Hudson above Mohawk River,9/21/2013,20,0,60,23,>2420,<1
Hudson above Mohawk River,8/19/2013,6,0,60,23,>2420,<1
Hudson above Mohawk River,7/21/2013,31,0,60,23,>2420,<1
Hudson above Mohawk River,6/24/2013,30,1.4,60,23,>2420,<1
Hudson above Mohawk River,6/4/2013,238,1.2,60,23,>2420,<1
Hudson above Mohawk River,10/15/2012,23,1,60,23,>2420,<1
Hudson above Mohawk River,9/15/2012,11,0.1,60,23,>2420,<1
Hudson above Mohawk River,8/18/2012,15,0.3,60,23,>2420,<1
Hudson above Mohawk River,7/21/2012,6,0.2,60,23,>2420,<1
Hudson above Mohawk River,6/16/2012,10,0.2,60,23,>2420,<1
Hudson above Mohawk River,5/20/2012,11,0,60,23,>2420,<1
Hudson above Mohawk River,10/16/2011,1733,1.5,60,23,>2420,<1
Hudson above Mohawk River,9/19/2011,11,0.1,60,23,>2420,<1
Hudson above Mohawk River,8/21/2011,231,0.4,60,23,>2420,<1
Hudson above Mohawk River,7/14/2011,11,0.3,60,23,>2420,<1
Hudson above Mohawk River,7/2/2011,11,2.1,60,23,>2420,<1
Hudson above Mohawk River,5/19/2011,91,1.6,60,23,>2420,<1
Hudson above Mohawk River,10/16/2010,>2420,1.3,60,23,>2420,<1
Hudson above Mohawk River,9/14/2010,15,0,60,23,>2420,<1
Hudson above Mohawk River,8/21/2010,25,0.2,60,23,>2420,<1
Hudson above Mohawk River,7/19/2010,31,0.7,60,23,>2420,<1
Hudson above Mohawk River,6/18/2010,23,0.2,60,23,>2420,<1
Hudson above Mohawk River,5/25/2010,<1,0,60,23,>2420,<1
Hudson above Mohawk River,10/23/2009,4,0,60,23,>2420,<1
Hudson above Mohawk River,9/17/2009,28,0,60,23,>2420,<1
Hudson above Mohawk River,8/24/2009,276,2.8,60,23,>2420,<1
Hudson above Mohawk River,7/31/2009,>2420,1.9,60,23,>2420,<1
Hudson above Mohawk River,5/15/2009,6,0.5,60,23,>2420,<1
Hudson above Mohawk River,10/23/2008,<1,0.3,60,23,>2420,<1
Hudson above Mohawk River,9/18/2008,6,0,60,23,>2420,<1
Hudson above Mohawk River,8/9/2008,41,1.5,60,23,>2420,<1
Hudson above Mohawk River,7/17/2008,15,0.1,60,23,>2420,<1
Hudson above Mohawk River,6/19/2008,12,1.4,60,23,>2420,<1
Hudson above Mohawk River,5/22/2008,12,0.2,60,23,>2420,<1
Mohawk River at Waterford,10/19/2017,91,0,59,213,2421,4
Mohawk River at Waterford,9/14/2017,727,0,59,213,2421,4
Mohawk River at Waterford,8/17/2017,2421,0,59,213,2421,4
Mohawk River at Waterford,7/13/2017,2420,0.3,59,213,2421,4
Mohawk River at Waterford,6/15/2017,89,0,59,213,2421,4
Mohawk River at Waterford,5/18/2017,32,0.3,59,213,2421,4
Mohawk River at Waterford,10/18/2016,1046,0,59,213,2421,4
Mohawk River at Waterford,9/17/2016,1986,0,59,213,2421,4
Mohawk River at Waterford,8/18/2016,2420,0.2,59,213,2421,4
Mohawk River at Waterford,7/16/2016,461,0.2,59,213,2421,4
Mohawk River at Waterford,6/18/2016,10,0,59,213,2421,4
Mohawk River at Waterford,5/23/2016,13,0,59,213,2421,4
Mohawk River at Waterford,10/15/2015,517,0,59,213,2421,4
Mohawk River at Waterford,9/14/2015,411,2.2,59,213,2421,4
Mohawk River at Waterford,8/15/2015,613,0.6,59,213,2421,4
Mohawk River at Waterford,7/11/2015,33,1.2,59,213,2421,4
Mohawk River at Waterford,6/13/2015,131,1.3,59,213,2421,4
Mohawk River at Waterford,5/14/2015,649,0.1,59,213,2421,4
Mohawk River at Waterford,10/16/2014,276,0.4,59,213,2421,4
Mohawk River at Waterford,9/10/2014,548,0,59,213,2421,4
Mohawk River at Waterford,8/14/2014,141,0.1,59,213,2421,4
Mohawk River at Waterford,7/10/2014,479,2.4,59,213,2421,4
Mohawk River at Waterford,6/15/2014,2420,1.1,59,213,2421,4
Mohawk River at Waterford,5/15/2014,57,0.2,59,213,2421,4
Mohawk River at Waterford,10/21/2013,130,0.2,59,213,2421,4
Mohawk River at Waterford,9/21/2013,830,0,59,213,2421,4
Mohawk River at Waterford,8/19/2013,1733,0,59,213,2421,4
Mohawk River at Waterford,7/21/2013,64,0,59,213,2421,4
Mohawk River at Waterford,6/24/2013,1300,1.4,59,213,2421,4
Mohawk River at Waterford,6/4/2013,461,1.2,59,213,2421,4
Mohawk River at Waterford,10/15/2012,770,1,59,213,2421,4
Mohawk River at Waterford,9/15/2012,1300,0.1,59,213,2421,4
Mohawk River at Waterford,8/18/2012,461,0.3,59,213,2421,4
Mohawk River at Waterford,7/21/2012,>2420,0.2,59,213,2421,4
Mohawk River at Waterford,6/16/2012,1023,0.2,59,213,2421,4
Mohawk River at Waterford,5/20/2012,238,0,59,213,2421,4
Mohawk River at Waterford,10/16/2011,2420,1.5,59,213,2421,4
Mohawk River at Waterford,9/19/2011,68,0.1,59,213,2421,4
Mohawk River at Waterford,8/21/2011,142,0.4,59,213,2421,4
Mohawk River at Waterford,7/14/2011,33,0.3,59,213,2421,4
Mohawk River at Waterford,7/2/2011,4,2.1,59,213,2421,4
Mohawk River at Waterford,5/19/2011,96,1.6,59,213,2421,4
Mohawk River at Waterford,10/16/2010,128,1.3,59,213,2421,4
Mohawk River at Waterford,9/14/2010,>2420,0,59,213,2421,4
Mohawk River at Waterford,8/21/2010,26,0.2,59,213,2421,4
Mohawk River at Waterford,7/19/2010,42,0.7,59,213,2421,4
Mohawk River at Waterford,6/18/2010,479,0.2,59,213,2421,4
Mohawk River at Waterford,5/25/2010,117,0,59,213,2421,4
Mohawk River at Waterford,10/23/2009,32,0,59,213,2421,4
Mohawk River at Waterford,9/17/2009,416,0,59,213,2421,4
Mohawk River at Waterford,8/24/2009,1986,2.8,59,213,2421,4
Mohawk River at Waterford,7/31/2009,2420,1.9,59,213,2421,4
Mohawk River at Waterford,5/15/2009,48,0.5,59,213,2421,4
Mohawk River at Waterford,10/23/2008,12,0.3,59,213,2421,4
Mohawk River at Waterford,9/18/2008,8,0,59,213,2421,4
Mohawk River at Waterford,8/9/2008,12,1.5,59,213,2421,4
Mohawk River at Waterford,7/17/2008,21,0.1,59,213,2421,4
Mohawk River at Waterford,6/19/2008,27,1.4,59,213,2421,4
Mohawk River at Waterford,5/22/2008,50,0.2,59,213,2421,4
Hudson River above Troy Lock,10/19/2017,50,0,62,97,>2420,3
Hudson River above Troy Lock,9/14/2017,122,0,62,97,>2420,3
Hudson River above Troy Lock,8/17/2017,435,0,62,97,>2420,3
Hudson River above Troy Lock,7/13/2017,33,0.3,62,97,>2420,3
Hudson River above Troy Lock,6/15/2017,31,0,62,97,>2420,3
Hudson River above Troy Lock,5/18/2017,3,0.3,62,97,>2420,3
Hudson River above Troy Lock,4/7/2017,93,1.4,62,97,>2420,3
Hudson River above Troy Lock,10/18/2016,51,0,62,97,>2420,3
Hudson River above Troy Lock,9/17/2016,272,0,62,97,>2420,3
Hudson River above Troy Lock,8/18/2016,211,0.2,62,97,>2420,3
Hudson River above Troy Lock,7/16/2016,22,0.2,62,97,>2420,3
Hudson River above Troy Lock,6/18/2016,9,0,62,97,>2420,3
Hudson River above Troy Lock,5/23/2016,24,0,62,97,>2420,3
Hudson River above Troy Lock,10/15/2015,50,0,62,97,>2420,3
Hudson River above Troy Lock,9/14/2015,231,2.2,62,97,>2420,3
Hudson River above Troy Lock,8/15/2015,61,0.6,62,97,>2420,3
Hudson River above Troy Lock,7/11/2015,150,1.2,62,97,>2420,3
Hudson River above Troy Lock,6/13/2015,365,1.3,62,97,>2420,3
Hudson River above Troy Lock,5/14/2015,21,0.1,62,97,>2420,3
Hudson River above Troy Lock,10/16/2014,285,0.4,62,97,>2420,3
Hudson River above Troy Lock,9/10/2014,60,0,62,97,>2420,3
Hudson River above Troy Lock,8/14/2014,133,0.1,62,97,>2420,3
Hudson River above Troy Lock,7/10/2014,727,2.4,62,97,>2420,3
Hudson River above Troy Lock,6/15/2014,1300,1.1,62,97,>2420,3
Hudson River above Troy Lock,5/15/2014,120,0.2,62,97,>2420,3
Hudson River above Troy Lock,10/21/2013,117,0.2,62,97,>2420,3
Hudson River above Troy Lock,9/21/2013,199,0,62,97,>2420,3
Hudson River above Troy Lock,8/19/2013,41,0,62,97,>2420,3
Hudson River above Troy Lock,7/21/2013,67,0,62,97,>2420,3
Hudson River above Troy Lock,6/24/2013,1203,1.4,62,97,>2420,3
Hudson River above Troy Lock,6/4/2013,980,1.2,62,97,>2420,3
Hudson River above Troy Lock,10/15/2012,65,1,62,97,>2420,3
Hudson River above Troy Lock,9/15/2012,64,0.1,62,97,>2420,3
Hudson River above Troy Lock,8/18/2012,33,0.3,62,97,>2420,3
Hudson River above Troy Lock,7/21/2012,28,0.2,62,97,>2420,3
Hudson River above Troy Lock,6/16/2012,49,0.2,62,97,>2420,3
Hudson River above Troy Lock,5/20/2012,96,0,62,97,>2420,3
Hudson River above Troy Lock,10/16/2011,1553,1.5,62,97,>2420,3
