"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure/MeasureValue","DrainageAreaMeasure/MeasureUnitCode","ContributingDrainageAreaMeasure/MeasureValue","ContributingDrainageAreaMeasure/MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure/MeasureValue","HorizontalAccuracyMeasure/MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure/MeasureValue","VerticalMeasure/MeasureUnitCode","VerticalAccuracyMeasure/MeasureValue","VerticalAccuracyMeasure/MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure/MeasureValue","WellDepthMeasure/MeasureUnitCode","WellHoleDepthMeasure/MeasureValue","WellHoleDepthMeasure/MeasureUnitCode","ProviderName"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-0","The Battery mid-channel","Estuary","Mid-channel",2030104,,,,,40.70004,-74.02503,,,,"Unknown","UNKWN",,,,,,,"US",36,61,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-102-EC1","Esopus Creek Entrance","Estuary","Tributary",2020006,,,,,42.07154,-73.93331,,,,"Unknown","UNKWN",,,,,,,"US",36,111,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-102-EC2","Esopus Creek West","Estuary","Tributary",2020006,,,,,42.07195,-73.9446,,,,"Unknown","UNKWN",,,,,,,"US",36,111,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-103W","Malden Launch Ramp","Estuary","Near-shore",2020006,,,,,42.09902,-73.93074,,,,"Unknown","UNKWN",,,,,,,"US",36,111,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-108.5","Inbocht Bay","Estuary","Mid-channel",2020006,,,,,42.16059,-73.89482,,,,"Unknown","UNKWN",,,,,,,"US",36,39,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-113-CC1","Catskill Launch Ramp","Estuary","Near-shore",2020006,,,,,42.21319,-73.85416,,,,"Unknown","UNKWN",,,,,,,"US",36,39,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-113-CC2","Catskill Creeku East End","Estuary","Tributary",2020006,,,,,42.2106,-73.85682,,,,"Unknown","UNKWN",,,,,,,"US",36,39,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-113-CC3","Catskill Creeku First Bridge","Estuary","Tributary",2020006,,,,,42.2169,-73.867,,,,"Unknown","UNKWN",,,,,,,"US",36,39,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-116.5E","Hudson Landing Ramp","Estuary","Near-shore",2020006,,,,,42.2563,-73.79807,,,,"Unknown","UNKWN",,,,,,,"US",36,21,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-117W","Athens","Estuary","Near-shore",2020006,,,,,42.26298,-73.80488,,,,"Unknown","UNKWN",,,,,,,"US",36,39,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-12","GW Bridge mid-channel","Estuary","Mid-channel",2030101,,,,,40.84838,-73.95001,,,,"Unknown","UNKWN",,,,,,,"US",36,61,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-122.5","Gay's Point mid-channel","Estuary","Mid-channel",2020006,,,,,42.33248,-73.78487,,,,"Unknown","UNKWN",,,,,,,"US",36,39,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-124W","Coxsackie Waterfront Park","Estuary","Near-shore",2020006,,,,,42.35332,-73.79511,,,,"Unknown","UNKWN",,,,,,,"US",36,39,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-133W","Coeymans Landing","Estuary","Near-shore",2020006,,,,,42.47614,-73.7891,,,,"Unknown","UNKWN",,,,,,,"US",36,1,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-137E","Castleton","Estuary","Near-shore",2020006,,,,,42.52656,-73.75986,,,,"Unknown","UNKWN",,,,,,,"US",36,83,,,,,,,,,"STORET"
"RIVERKEEPER","Riverkeeper","RIVERKEEPER-138W","Bethlehem Launch Ramp","Estuary","Near-shore",2020006,,,,,42.5478,-73.75825,,,,"Unknown","UNKWN",,,,,,,"US",36,1,,,,,,,,,"STORET"
