"DBN","School.Name","Year","Total.Enrollment","Grade.PK","Grade.K","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Female","X..Female.1","X..Male","X..Male.1","X..Asian","X..Asian.1","X..Black","X..Black.1","X..Hispanic","X..Hispanic.1","X..Other","X..Other.1","X..White","X..White.1","X..Students.with.Disabilities","X..Students.with.Disabilities.1","X..English.Language.Learners","X..English.Language.Learners.1","X..Poverty","X..Poverty.1"
"01M015","P.S. 015 Roberto Clemente","2011-12",189,13,31,35,28,25,28,29,0,0,0,0,0,0,0,92,"48.7%",97,"51.3%",12,"6.3%",63,"33.3%",109,"57.7%",1,"0.5%",4,"2.1%",52,"27.5%",22,"11.6%",189,"100.0%"
"01M015","P.S. 015 Roberto Clemente","2012-13",177,18,38,26,22,26,23,24,0,0,0,0,0,0,0,91,"51.4%",86,"48.6%",15,"8.5%",63,"35.6%",93,"52.5%",3,"1.7%",3,"1.7%",55,"31.1%",21,"11.9%",177,"100.0%"
"01M015","P.S. 015 Roberto Clemente","2013-14",190,26,39,39,21,16,26,23,0,0,0,0,0,0,0,93,"48.9%",97,"51.1%",9,"4.7%",72,"37.9%",104,"54.7%",2,"1.1%",3,"1.6%",65,"34.2%",19,"10.0%",190,"100.0%"
"01M015","P.S. 015 Roberto Clemente","2014-15",183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,84,"45.9%",99,"54.1%",8,"4.4%",65,"35.5%",107,"58.5%",1,"0.5%",2,"1.1%",64,"35.0%",17,"9.3%",183,"100.0%"
"01M015","P.S. 015 Roberto Clemente","2015-16",176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,83,"47.2%",93,"52.8%",9,"5.1%",57,"32.4%",105,"59.7%",3,"1.7%",2,"1.1%",57,"32.4%",16,"9.1%",176,"100.0%"
"01M019","P.S. 019 Asher Levy","2011-12",328,32,46,52,54,52,46,46,0,0,0,0,0,0,0,181,"55.2%",147,"44.8%",51,"15.5%",81,"24.7%",158,"48.2%",10,"3.0%",28,"8.5%",66,"20.1%",33,"10.1%",328,"100.0%"
"01M019","P.S. 019 Asher Levy","2012-13",302,31,39,46,46,48,50,42,0,0,0,0,0,0,0,154,"51.0%",148,"49.0%",44,"14.6%",69,"22.8%",150,"49.7%",6,"2.0%",33,"10.9%",79,"26.2%",26,"8.6%",228,"75.5%"
"01M019","P.S. 019 Asher Levy","2013-14",285,36,39,38,36,45,47,44,0,0,0,0,0,0,0,141,"49.5%",144,"50.5%",41,"14.4%",56,"19.6%",148,"51.9%",10,"3.5%",30,"10.5%",89,"31.2%",25,"8.8%",213,"74.7%"
"01M019","P.S. 019 Asher Levy","2014-15",270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,132,"48.9%",138,"51.1%",30,"11.1%",47,"17.4%",158,"58.5%",8,"3.0%",27,"10.0%",82,"30.4%",18,"6.7%",200,"74.1%"
"01M019","P.S. 019 Asher Levy","2015-16",270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,125,"46.3%",145,"53.7%",27,"10.0%",55,"20.4%",169,"62.6%",3,"1.1%",16,"5.9%",80,"29.6%",13,"4.8%",217,"80.4%"
"01M020","P.S. 020 Anna Silver","2011-12",626,52,102,121,87,88,85,91,0,0,0,0,0,0,0,296,"47.3%",330,"52.7%",190,"30.4%",55,"8.8%",357,"57.0%",8,"1.3%",16,"2.6%",106,"16.9%",128,"20.4%",626,"100.0%"
"01M020","P.S. 020 Anna Silver","2012-13",620,54,115,107,106,86,77,75,0,0,0,0,0,0,0,282,"45.5%",338,"54.5%",201,"32.4%",51,"8.2%",330,"53.2%",13,"2.1%",25,"4.0%",122,"19.7%",107,"17.3%",620,"100.0%"
"01M020","P.S. 020 Anna Silver","2013-14",631,54,114,111,98,109,71,74,0,0,0,0,0,0,0,305,"48.3%",326,"51.7%",223,"35.3%",54,"8.6%",314,"49.8%",16,"2.5%",24,"3.8%",144,"22.8%",104,"16.5%",631,"100.0%"
"01M020","P.S. 020 Anna Silver","2014-15",633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,301,"47.6%",332,"52.4%",231,"36.5%",53,"8.4%",309,"48.8%",15,"2.4%",25,"3.9%",144,"22.7%",120,"19.0%",633,"100.0%"
"01M020","P.S. 020 Anna Silver","2015-16",581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,277,"47.7%",304,"52.3%",204,"35.1%",46,"7.9%",286,"49.2%",21,"3.6%",24,"4.1%",122,"21.0%",88,"15.1%",581,"100.0%"
"01M034","P.S. 034 Franklin D. Roosevelt","2011-12",401,14,34,38,36,45,28,40,55,55,56,0,0,0,0,197,"49.1%",204,"50.9%",22,"5.5%",90,"22.4%",275,"68.6%",6,"1.5%",8,"2.0%",124,"30.9%",34,"8.5%",400,"99.8%"
