award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,action_date,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_name,recipient_parent_duns,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,last_modified_date
U336S140014,6,,,1218401.00,1218401.00,2436802,,,,,2018-09-11,2018-10-01,2019-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,071050983,"TEACHERS COLLEGE, COLUMBIA UNIVERSITY","TEACHERS COLLEGE, COLUMBIA UNIVERSITY",071050983,USA,UNITED STATES,525 W 120TH ST,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10027,6670,10,,,,USA,UNITED STATES,NY51000,NEW YORK,061,NEW YORK,NEW YORK,10027-6670,10,,84.336,TEACHER QUALITY PARTNERSHIP GRANTS,04,PROJECT GRANT (B),"TEACHER RESIDENTS AT TEACHER COLLEGE2, COLUMBIA UNIVERSITY",NON,NOT RECOVERY ACT,O,PRIVATE INSTITUTION OF HIGHER EDUCATION,,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-09-20 19:57:50.565606
S041B183385,5,,,34713.76,,34713.76,,,,,2018-09-11,,2023-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,079938544,NIAGARA WHEATFIELD CENTRAL SCHOOL DISTRICT INC,NIAGARA WHEATFIELD CENTRAL SCHOOL DISTRICT INC,079938544,USA,UNITED STATES,6700 SCHULTZ,,51055,NIAGARA FALLS,063,NIAGARA,NY,NEW YORK,14304,4531,27,,,,USA,UNITED STATES,NY51055,NIAGARA FALLS,063,NIAGARA,NEW YORK,14304-4531,27,,84.041,IMPACT AID,04,PROJECT GRANT (B),UNKNOWN TITLE,NON,NOT RECOVERY ACT,G,INDEPENDENT SCHOOL DISTRICT,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-09-20 19:58:23.421624
S041B183492,5,,,13669.00,,13669,,,,,2018-09-11,,2023-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,101324853,WATERTOWN CITY SCHOOL DISTRICT,WATERTOWN CITY SCHOOL DISTRICT,101324853,USA,UNITED STATES,1351 WASHINGTON ST,,78608,WATERTOWN,045,JEFFERSON,NY,NEW YORK,13601,4531,21,,,,USA,UNITED STATES,NY78608,WATERTOWN,045,JEFFERSON,NEW YORK,13601-4531,21,,84.041,IMPACT AID,04,PROJECT GRANT (B),UNKNOWN TITLE,NON,NOT RECOVERY ACT,C,CITY OR TOWNSHIP GOVERNMENT,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-09-20 19:58:08.639115
P047A170689,4,,,32578.00,0.00,32578,,,,,2018-09-28,2018-09-01,2019-08-31,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,919834,,,,,,910034,OFFICE OF POSTSECONDARY EDUCATION,067921585,MONROE COMMUNITY COLLEGE,"NEW YORK, STATE OF",041002973,USA,UNITED STATES,1000 E HENRIETTA RD,,63000,ROCHESTER,055,MONROE,NY,NEW YORK,14623,5780,25,,,,USA,UNITED STATES,NY63000,ROCHESTER,055,MONROE,NEW YORK,14623-5780,25,,84.047,TRIO UPWARD BOUND,04,PROJECT GRANT (B),UPWARD BOUND AT MONROE COMMUNITY COLLEGE(UB@MCC) PROGRAM,NON,NOT RECOVERY ACT,H,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-10-15 16:22:03.429839
U423A170007,2,,,5913062.00,2388164.00,8301226,,,,,2018-09-14,2018-10-01,2019-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,800590452,"NEW TEACHER PROJECT, INC THE","NEW TEACHER PROJECT, INC THE",800590452,USA,UNITED STATES,186 JORALEMON ST FL 3,,10021,BROOKLYN,047,KINGS,NY,NEW YORK,11201,4326,07,,,,USA,UNITED STATES,NY10022,BROOKLYN,047,KINGS,NEW YORK,11201-4326,07,,84.423,SUPPORTING EFFECTIVE EDUCATOR DEVELOPMENT PROGRAM,04,PROJECT GRANT (B),"TEACH: BRINGING COMMITMENT, DIVERSITY AND GREAT TEACHING TO CLARK COUNTY, NEW YORK CITY AND WESTERN TEXAS",NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,A,NEW,2,NON-AGGREGATE RECORD,2018-09-20 19:50:29.924483
S041B187138,5,,,1443.96,,1443.96,,,,,2018-09-11,,2023-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,100380179,LYME CENTRAL SCHOOL DISTRICT,LYME CENTRAL SCHOOL DISTRICT,100380179,USA,UNITED STATES,11868 ACADEMY ST,,14036,CHAUMONT,045,JEFFERSON,NY,NEW YORK,13622,,21,,,,USA,UNITED STATES,NY14036,CHAUMONT,045,JEFFERSON,NEW YORK,13622,21,,84.041,IMPACT AID,04,PROJECT GRANT (B),UNKNOWN TITLE,NON,NOT RECOVERY ACT,G,INDEPENDENT SCHOOL DISTRICT,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-09-20 19:57:54.554038
S041B183283,5,,,2489.14,,2489.14,,,,,2018-09-11,,2023-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,071600258,COPENHAGEN CENTRAL SCHOOL DISTRICT,,,USA,UNITED STATES,3020 MECHANIC ST,,18135,COPENHAGEN,049,LEWIS,NY,NEW YORK,13626,,23,,,,USA,UNITED STATES,NY18135,COPENHAGEN,049,LEWIS,NEW YORK,13626,23,,84.041,IMPACT AID,04,PROJECT GRANT (B),UNKNOWN TITLE,NON,NOT RECOVERY ACT,G,INDEPENDENT SCHOOL DISTRICT,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-09-20 19:58:23.526998
S041B187202,5,,,50583.44,,50583.44,,,,,2018-09-11,,2023-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,053956470,EVANS BRANT CENTRAL SCH DIST,EVANS BRANT CENTRAL SCH DIST,053956470,USA,UNITED STATES,959 BEACH RD,,02198,ANGOLA,029,ERIE,NY,NEW YORK,14006,9702,27,,,,USA,UNITED STATES,NY02198,ANGOLA,029,ERIE,NEW YORK,14006-9702,27,,84.041,IMPACT AID,04,PROJECT GRANT (B),UNKNOWN TITLE,NON,NOT RECOVERY ACT,G,INDEPENDENT SCHOOL DISTRICT,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-09-20 19:57:53.050801
U336S140026,7,,,1.00,1506967.00,1506968,,,,,2018-09-11,2018-10-01,2019-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,061202768,"AMERICAN MUSEUM OF NATURAL HISTORY, THE","AMERICAN MUSEUM OF NATURAL HISTORY, THE",061202768,USA,UNITED STATES,CENTRAL PARK WEST AT 79TH STREET,,51000,NEW YORK,061,NEW YORK,NY,NEW YORK,10024,,08,,,,USA,UNITED STATES,NY51000,NEW YORK,061,NEW YORK,NEW YORK,10024,08,,84.336,TEACHER QUALITY PARTNERSHIP GRANTS,04,PROJECT GRANT (B),A MUSEUM- AND SCHOOL-BASED TEACHER RESIDENCY PARTNERSHIP FOR PREPARING AND SUPPORTING NEW EARTH SCIENCE TEACHERS,NON,NOT RECOVERY ACT,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THAN AN INSTITUTION OF HIGHER EDUCATION),,,B,CONTINUATION,2,NON-AGGREGATE RECORD,2018-09-20 19:57:50.389169
S041B187207,5,,,31136.90,,31136.9,,,,,2018-09-11,,2023-09-30,091,DEPARTMENT OF EDUCATION (ED),9100,DEPARTMENT OF EDUCATION,,,,,,,,,085685808,AKRON CENTRAL SCHOOL DISTRICT,AKRON CENTRAL SCHOOL DISTRICT,085685808,USA,UNITED STATES,47 BLOOMINGDALE AVE,,00441,AKRON,029,ERIE,NY,NEW YORK,14001,1113,27,,,,USA,UNITED STATES,NY00441,AKRON,029,ERIE,NEW YORK,14001-1113,27,,84.041,IMPACT AID,04,PROJECT GRANT (B),UNKNOWN TITLE,NON,NOT RECOVERY ACT,G,INDEPENDENT SCHOOL DISTRICT,,,C,REVISION,2,NON-AGGREGATE RECORD,2018-09-20 19:57:52.868165
